barcode,title,author,category,callNumber
BHI00237,나태주 연필화 시집,나태주 글·그림,일 반,811.6
BHI00238,사랑인 줄 알았는데 부정맥,"전국유료실버타운협회,포푸라샤 편집부,옮긴이: 이지수",일 반,831.6
BHI00239,행복한 사람  : 나태주 인생 에세이,"나태주 글,이경국 그림",일 반,814.62
BHI00240,"말은 안 되지만,전자책 : 정해연 소설",정해연 지음,일 반,813.7
BHI00241,톨스토이 단편선,"L. N. 톨스토이 지음,이일선 그림,권희정,김은경 공옮김",일 반,892.8
BHI00242,사랑하라 한번도 상처받지 않은 것처럼,류시화 엮음,일 반,811.7
BHI00243,지금 알고 있는 걸 그때도 알았더라면 : 잠언시집,류시화 엮음,일 반,811.6
BHI00244,"파리,  혼자서 : 60세에 첫 유학길에 오르다",강인순 지음,일 반,818
BHI00245,오늘 아내에게 우울증이라고 말했다  : 김정원 에세이,김정원,일 반,818
BHI00246,"내가 좋아하는 것들,  강릉",이정임 지음,일 반,818
BHI00247,마음챙김의 시,류시화 엮음,일 반,808.1
BHI00248,한 여자,"아니 에르노 지음,정혜용 옮김",일 반,863
BHI00249,프랑켄슈타인  : 메리 W,"메리 W. 셸리,옮긴이: 오숙은",일 반,843.4
BHI00250,파우스트  : 요한 볼프강 폰 괴테 희곡,"요한 볼프강 폰 괴테,옮긴이: 김인순",일 반,852
BHI00251,영원에 무늬가 있다면,최유수,일 반,818
BHI00252,우리가 볼 수 없는 모든 빛 : 앤서니 도어 장편소설,"앤서니 도어 지음,최세희 옮김.",일 반,843
BHI00253,당신을 기다리고 있어  : 김보영 장편소설,김보영,일 반,813.7
BHI00254,미래로 가는 사람들,김보영 지음,일 반,813.7
BHI00255,"그냥,  사람",홍은전 지음,일 반,818
BHI00256,자연의 가장자리와 자연사  : 봄날의 시집,신해욱 지음,일 반,811.7
BHI00257,미래의 손,차도하 지음,일 반,811.7
BHI00258,너를 모르는 너에게,나선미 지음,일 반,811.7
BHI00259,성공의 문을 여는 마스터키,"찰스 F. 해낼 지음,강주헌 옮김",일 반,199.1
BHI00260,사람은 무엇으로 사는가 : 톨스토이 단편선,"레프 톨스토이 지음,홍대화 옮김",일 반,892.83
BHI00261,이반 일리치의 죽음,"레프 톨스토이 지음,윤우섭 옮김",일 반,892.83
BHI00262,도련님,"나쓰메 소세키 지음,송태욱 옮김",일 반,833.6
BHI00263,마음,"나쓰메 소세키 지음,송태욱 옮김",일 반,833.6
BHI00264,윤동주 전 시집  : 하늘과 바람과 별과 詩  : 서거 77주년·탄생 105주년 기념 『하늘과 바람과 별과 시』뉴에디션,"윤동주, 윤동주100년포럼",일 반,811.61
BHI00265,사슴  : 白石 詩集  : 백석 시집 사슴 1936년 초판본 오리지널 디자인,백석,일 반,811.61
BHI00266,"오로라,전자자료",최진영 지음,일 반,813.7
BHI00267,창문,정보라,일 반,813.7
BHI00268,헤픈 것이다,김보영,일 반,813.7
BHI00269,파쇄,구병모 지음.,일 반,813.7
BHI00270,경험많은 너와 경험 없는 내가 사귀게 된 이야기,나가오카 마키코,일 반,833
BHI00271,"목판에 새긴 꿈,  대동여지도","도건영 글,어수현 그림",아 동,813.7
BHI00272,난 싸우지 않아,"구닐라 베리스트룀 글·그림,김경연 옮김",아 동,859.7
